shrimp,almonds,avocado,vegetables mix,green grapes,whole weat flour,yams,cottage cheese,energy drink,tomato juice,low fat yogurt,green tea,honey,salad,mineral water,salmon,antioxydant juice,frozen smoothie,spinach,olive oil
14,67,34,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
26,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,3,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,69,35,111,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
111,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,61,92,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,98,51,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,84,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,13,69,34,29,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,20,27,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,90,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,23,20,56,75,29,57,68,62,55,45,36,28,19,12,5,2,0,2,
107,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,44,105,96,66,7,81,34,20,29,45,36,28,19,12,5,2,0,2,
68,69,57,40,82,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,95,81,82,34,23,85,68,62,55,45,36,28,19,12,5,2,0,2,
88,99,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,70,54,9,77,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,49,94,81,3,54,97,92,62,55,45,36,28,19,12,5,2,0,2,
36,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
81,98,96,3,65,42,69,68,62,55,45,36,28,19,12,5,2,0,2,
54,98,69,67,35,7,81,44,35,55,45,36,28,19,12,5,2,0,2,
99,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,35,20,23,40,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,98,113,68,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,105,60,62,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,23,3,34,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,41,100,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
48,102,22,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
85,98,89,37,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
37,41,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
87,53,69,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,15,30,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
85,20,51,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,47,97,68,54,103,43,37,62,55,45,36,28,19,12,5,2,0,2,
98,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,67,58,97,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
39,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,3,40,57,11,9,74,48,62,55,45,36,28,19,12,5,2,0,2,
71,21,18,27,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,11,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
3,73,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,7,51,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,23,10,108,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
45,70,34,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,73,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,23,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,38,19,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
104,62,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,44,46,104,50,90,64,24,76,50,48,36,28,19,12,5,2,0,2,
36,28,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,21,53,94,9,36,47,68,62,55,45,36,28,19,12,5,2,0,2,
107,47,69,26,29,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
98,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
28,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
38,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,11,92,84,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
42,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,69,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
58,113,52,68,3,26,99,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
95,82,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,57,105,103,30,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,38,92,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
114,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
97,35,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
29,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,23,62,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,101,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
50,53,97,68,104,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
72,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
36,15,40,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,98,68,40,49,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
71,36,13,40,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,49,56,68,34,29,69,68,62,55,45,36,28,19,12,5,2,0,2,
37,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
37,37,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
24,46,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
2,89,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,41,62,50,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
64,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,57,94,81,93,66,61,72,33,31,24,40,28,19,12,5,2,0,2,
21,63,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
21,75,74,73,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
14,0,34,40,28,49,69,68,62,55,45,36,28,19,12,5,2,0,2,
56,97,37,9,71,71,69,68,62,55,45,36,28,19,12,5,2,0,2,
107,55,46,82,75,38,93,57,62,55,45,36,28,19,12,5,2,0,2,
